dim,dataset,judge,n,n_valid
B_full_S3,simpsydial,gpt,200,
B_full_S3,smile,gemini,199,
B_full_S3,smile,gpt,199,
B_full_S3,soulchat,claude,200,
B_full_S3,soulchat,gemini,200,
B_full_S3,soulchat,gpt,200,
A_pilot_S3,annomi,"claude,gemini,gpt,qwen",20,
A_pilot_S3,cactus,"claude,gemini,gpt,qwen",20,
A_pilot_S1,cpsycoun,"claude,gemini,gpt,qwen",20,
A_pilot_S2,cpsycoun,"claude,gemini,gpt,qwen",20,
A_pilot_S3,cpsycoun,"claude,gemini,gpt,qwen",20,
A_pilot_S3,esconv,"claude,gemini,gpt,qwen",20,
A_pilot_S1,kmi,"claude,gemini,gpt,qwen",20,
A_pilot_S2,kmi,"claude,gemini,gpt,qwen",20,
A_pilot_S3,kmi,"claude,gemini,gpt,qwen",20,
A_pilot_S1,kokorochat,"claude,gemini,gpt,qwen",20,
A_pilot_S2,kokorochat,"claude,gemini,gpt,qwen",20,
A_pilot_S3,kokorochat,"claude,gemini,gpt,qwen",20,
A_pilot_S3,psy_insight,"claude,gemini,gpt,qwen",20,
A_pilot_S1,psydial,"claude,gemini,gpt,qwen",20,
A_pilot_S2,psydial,"claude,gemini,gpt,qwen",20,
A_pilot_S3,psydial,"claude,gemini,gpt,qwen",20,
A_pilot_S1,simpsydial,"claude,gemini,gpt,qwen",20,
A_pilot_S2,simpsydial,"claude,gemini,gpt,qwen",20,
A_pilot_S3,simpsydial,"claude,gemini,gpt,qwen",20,
A_pilot_S1,smile,"claude,gemini,gpt,qwen",19,
A_pilot_S2,smile,"claude,gemini,gpt,qwen",19,
A_pilot_S3,smile,"claude,gemini,gpt,qwen",19,
A_pilot_S1,soulchat,"claude,gemini,gpt,qwen",20,
A_pilot_S2,soulchat,"claude,gemini,gpt,qwen",20,
A_pilot_S3,soulchat,"claude,gemini,gpt,qwen",20,
B_pilot_S1,annomi,gpt,40,
B_pilot_S3,annomi,"claude,gemini,gpt",26,
B_pilot_S1,cactus,gpt,40,
B_pilot_S3,cactus,"claude,gemini,gpt",20,
B_pilot_S1,cpsycoun,gpt,20,
B_pilot_S3,cpsycoun,"claude,gemini,gpt",26,
B_pilot_S3,esconv,"claude,gemini,gpt",20,
B_pilot_S1,kmi,gpt,40,
B_pilot_S3,kmi,"claude,gemini,gpt",26,
B_pilot_S1,kokorochat,gpt,20,
B_pilot_S3,kokorochat,"claude,gemini,gpt",14,
B_pilot_S1,psy_insight,gpt,40,
B_pilot_S3,psy_insight,"claude,gemini,gpt",20,
B_pilot_S1,psydial,gpt,20,
B_pilot_S3,psydial,"claude,gemini,gpt",26,
B_pilot_S1,simpsydial,gpt,20,
B_pilot_S3,simpsydial,"claude,gemini,gpt",26,
B_pilot_S1,smile,gpt,19,
B_pilot_S3,smile,"claude,gemini,gpt",19,
B_pilot_S1,soulchat,gpt,20,
B_pilot_S3,soulchat,"claude,gemini,gpt",26,
C_A,annomi,-,112,110.0
C_A,cactus,-,200,200.0
C_A,cpsycoun,-,200,188.0
C_A,esconv,-,200,200.0
C_A,kmi,-,200,200.0
C_A,kokorochat,-,200,200.0
C_A,psy_insight,-,200,141.0
C_A,psydial,-,200,200.0
C_A,simpsydial,-,200,200.0
C_A,smile,-,200,198.0
C_A,soulchat,-,200,200.0
C_B,annomi,-,112,110.0
C_B,cactus,-,200,200.0
C_B,cpsycoun,-,200,182.0
C_B,esconv,-,200,200.0
C_B,kmi,-,200,200.0
C_B,kokorochat,-,200,200.0
C_B,psy_insight,-,200,141.0
C_B,psydial,-,200,200.0
C_B,simpsydial,-,200,200.0
C_B,smile,-,200,198.0
C_B,soulchat,-,200,200.0
