stage,dataset,config,judge,judge_raw,judge_model,interaction_id,file,overall,average,CAC,EPC,AR,TRA,ACQ
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_103,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.6,1.6,1.5,2.5,1.5,1.5,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_48,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_42,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.8,1.8,2.0,3.0,1.0,2.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_24,AnnoMI_S3_qwen_thinking_judgments.jsonl,2.1,2.1,2.0,3.0,2.0,2.0,1.5
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_125,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.2,1.2,1.0,2.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_23,AnnoMI_S3_qwen_thinking_judgments.jsonl,2.1,2.1,2.0,2.5,2.0,2.0,2.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_58,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_119,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.8,1.8,2.0,2.0,2.0,2.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_97,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.2,1.2,1.5,1.5,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_28,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.7,1.7,1.75,1.5,2.0,2.0,1.25
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_74,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_72,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_102,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_10,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.3,1.3,1.5,1.5,1.25,1.25,1.0
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_106,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.2,1.2,1.5,1.0,1.0,1.0,1.5
20,annomi,S3,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,annomi_69,AnnoMI_S3_qwen_thinking_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_1_02,CPsyCoun_S1_claude_batch_judgments.jsonl,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_1_06,CPsyCoun_S1_claude_batch_judgments.jsonl,2.2,2.2,2.0,3.0,2.0,2.0,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_1_04,CPsyCoun_S1_claude_batch_judgments.jsonl,2.5,2.5,2.5,3.0,2.0,2.5,2.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_1_08,CPsyCoun_S1_claude_batch_judgments.jsonl,2.1,2.1,2.0,3.0,2.0,2.0,1.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_2_02,CPsyCoun_S1_claude_batch_judgments.jsonl,2.2,2.2,2.0,3.0,2.0,2.0,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_2_04,CPsyCoun_S1_claude_batch_judgments.jsonl,2.2,2.2,2.0,3.0,2.0,2.0,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_1_10,CPsyCoun_S1_claude_batch_judgments.jsonl,2.0,2.0,2.0,2.5,2.0,2.0,1.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_2_06,CPsyCoun_S1_claude_batch_judgments.jsonl,2.1,2.1,2.0,3.0,2.0,2.0,1.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_3_02,CPsyCoun_S1_claude_batch_judgments.jsonl,2.6,2.6,2.5,3.0,2.5,2.5,2.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_3_08,CPsyCoun_S1_claude_batch_judgments.jsonl,2.3,2.3,2.0,3.0,2.0,2.5,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_3_04,CPsyCoun_S1_claude_batch_judgments.jsonl,2.4,2.4,2.0,3.0,2.0,2.5,2.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_2_10,CPsyCoun_S1_claude_batch_judgments.jsonl,2.2,2.2,2.0,3.0,2.0,2.0,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_3_06,CPsyCoun_S1_claude_batch_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.5,3.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_4_02,CPsyCoun_S1_claude_batch_judgments.jsonl,2.9,2.9,2.5,3.5,2.5,3.0,3.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_4_08,CPsyCoun_S1_claude_batch_judgments.jsonl,2.4,2.4,2.0,3.0,2.0,2.5,2.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_4_04,CPsyCoun_S1_claude_batch_judgments.jsonl,2.3,2.3,2.0,3.0,2.0,2.5,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_5_08,CPsyCoun_S1_claude_batch_judgments.jsonl,2.5,2.5,2.5,3.0,2.0,2.5,2.5
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_4_06,CPsyCoun_S1_claude_batch_judgments.jsonl,2.2,2.2,2.0,3.0,2.0,2.0,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_3_10,CPsyCoun_S1_claude_batch_judgments.jsonl,2.5,2.5,2.5,3.0,2.5,2.5,2.0
20,cpsycoun,S1,claude,claude_batch,anthropic/claude-sonnet-4-6,cpscycoun_career_5_10,CPsyCoun_S1_claude_batch_judgments.jsonl,2.3,2.3,2.0,3.0,2.0,2.0,2.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_1_02,CPsyCoun_S1_gemini_judgments.jsonl,3.2,3.2,3.5,3.5,3.5,3.0,2.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_1_06,CPsyCoun_S1_gemini_judgments.jsonl,1.8,1.8,1.5,3.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_1_04,CPsyCoun_S1_gemini_judgments.jsonl,1.9,1.9,2.0,2.0,2.0,2.0,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_1_08,CPsyCoun_S1_gemini_judgments.jsonl,1.7,1.7,1.5,2.5,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_2_02,CPsyCoun_S1_gemini_judgments.jsonl,1.7,1.7,2.0,2.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_2_04,CPsyCoun_S1_gemini_judgments.jsonl,1.8,1.8,1.5,3.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_1_10,CPsyCoun_S1_gemini_judgments.jsonl,1.6,1.6,1.5,2.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_2_06,CPsyCoun_S1_gemini_judgments.jsonl,1.7,1.7,1.5,2.5,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_3_02,CPsyCoun_S1_gemini_judgments.jsonl,2.5,2.5,3.0,2.0,2.5,3.0,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_3_08,CPsyCoun_S1_gemini_judgments.jsonl,1.6,1.6,1.5,2.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_3_04,CPsyCoun_S1_gemini_judgments.jsonl,2.0,2.0,2.0,2.0,2.0,2.0,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_2_10,CPsyCoun_S1_gemini_judgments.jsonl,1.9,1.9,2.0,3.0,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_3_06,CPsyCoun_S1_gemini_judgments.jsonl,1.7,1.7,1.5,2.0,1.5,1.5,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_4_02,CPsyCoun_S1_gemini_judgments.jsonl,2.3,2.3,2.5,2.0,2.5,2.5,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_4_08,CPsyCoun_S1_gemini_judgments.jsonl,2.0,2.0,1.5,3.0,1.5,2.0,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_4_04,CPsyCoun_S1_gemini_judgments.jsonl,2.4,2.4,2.0,3.5,2.0,2.5,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_5_08,CPsyCoun_S1_gemini_judgments.jsonl,2.0,2.0,2.0,2.5,2.0,1.5,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_4_06,CPsyCoun_S1_gemini_judgments.jsonl,2.1,2.1,1.5,3.5,1.5,2.0,2.0
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_3_10,CPsyCoun_S1_gemini_judgments.jsonl,1.5,1.5,1.5,1.5,1.5,1.5,1.5
20,cpsycoun,S1,gemini,gemini,openai/ag/gemini-3.1-pro-low,cpscycoun_career_5_10,CPsyCoun_S1_gemini_judgments.jsonl,1.5,1.5,1.5,2.0,1.5,1.0,1.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_1_02,CPsyCoun_S1_gpt_judgments.jsonl,3.2,3.2,3.0,4.0,3.0,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_1_06,CPsyCoun_S1_gpt_judgments.jsonl,2.9,2.9,3.0,4.0,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_1_04,CPsyCoun_S1_gpt_judgments.jsonl,2.9,2.9,3.0,4.0,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_1_08,CPsyCoun_S1_gpt_judgments.jsonl,2.8,2.8,3.0,3.5,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_2_02,CPsyCoun_S1_gpt_judgments.jsonl,3.05,3.05,3.0,4.0,2.5,2.75,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_2_04,CPsyCoun_S1_gpt_judgments.jsonl,2.9,2.9,3.0,4.0,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_1_10,CPsyCoun_S1_gpt_judgments.jsonl,2.8,2.8,3.0,3.5,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_2_06,CPsyCoun_S1_gpt_judgments.jsonl,3.0,3.0,3.0,4.0,2.5,3.0,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_3_02,CPsyCoun_S1_gpt_judgments.jsonl,3.2,3.2,3.5,3.5,3.0,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_3_08,CPsyCoun_S1_gpt_judgments.jsonl,3.0,3.0,3.0,3.5,3.0,3.0,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_3_04,CPsyCoun_S1_gpt_judgments.jsonl,3.1,3.1,3.0,3.5,3.0,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_2_10,CPsyCoun_S1_gpt_judgments.jsonl,2.8,2.8,3.0,3.5,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_3_06,CPsyCoun_S1_gpt_judgments.jsonl,3.0,3.0,3.0,4.0,2.5,2.5,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_4_02,CPsyCoun_S1_gpt_judgments.jsonl,3.1,3.1,3.0,4.0,2.5,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_4_08,CPsyCoun_S1_gpt_judgments.jsonl,3.0,3.0,3.0,3.5,2.5,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_4_04,CPsyCoun_S1_gpt_judgments.jsonl,3.0,3.0,3.0,4.0,2.5,2.5,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_5_08,CPsyCoun_S1_gpt_judgments.jsonl,2.9,2.9,3.0,3.5,2.5,2.5,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_4_06,CPsyCoun_S1_gpt_judgments.jsonl,2.8,2.8,3.0,3.5,2.5,2.5,2.5
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_3_10,CPsyCoun_S1_gpt_judgments.jsonl,3.1,3.1,3.0,4.0,2.5,3.0,3.0
20,cpsycoun,S1,gpt,gpt,gpt-5.1,cpscycoun_career_5_10,CPsyCoun_S1_gpt_judgments.jsonl,3.1,3.1,3.0,3.5,3.0,3.0,3.0
20,cpsycoun,S1,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,cpscycoun_career_1_02,CPsyCoun_S1_qwen_thinking_judgments.jsonl,2.5,2.5,2.5,3.0,2.5,2.5,2.0
20,cpsycoun,S1,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,cpscycoun_career_1_06,CPsyCoun_S1_qwen_thinking_judgments.jsonl,1.7,1.7,1.5,2.5,1.5,1.5,1.5
20,cpsycoun,S1,qwen,qwen_thinking,openai/qwen3-235b-a22b-thinking-2507,cpscycoun_career_1_04,CPsyCoun_S1_qwen_thinking_judgments.jsonl,2.95,2.95,3.0,3.5,2.75,2.75,2.75
